"name","url","cover","rate","category","language","showtime","length","othername","id","label"
"小羊肖恩","http://movie.douban.com/subject/24397586/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2249261202.jpg","8.5","喜剧;动画;冒险","无对白","2015.0","85.0","小羊肖恩大电影;超级无敌羊咩咩大电影之咩最劲(港);笑笑羊大电影(台);超级无敌羊咩咩 电影版;笑笑羊 电影版","fafb1b8f6f24ad08612e882134c40e1b","Movie"
"进击的巨人真人版：前篇","http://movie.douban.com/subject/6866928/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2239093805.jpg","5.1","动作;科幻;惊悚","日语","2015.0","98.0","The Movie","3e4f007995ae9b21380bc828051ee8f2","Movie"
"女间谍","http://movie.douban.com/subject/25752261/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2254455238.jpg","7.6","喜剧;动作;犯罪","英语;法语;意大利语;德语","2015.0","120.0","凸务MADAM (港);麻辣贱谍(台);密探;苏珊·库珀;Susan Cooper","0b81a969c07ae4ad76d5e7b7f3d0ceb0","Movie"
"爆裂鼓手","http://movie.douban.com/subject/25773932/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2220776342.jpg","8.6","剧情;音乐","英语","2014.0","107.0","鼓动真我(港);进击的鼓手(台);鼓动人生(台);鞭打;The Whiplash Drummer","18a3b34e9870cf9e3adcdcb6daada16b","Movie"
"杀破狼2","http://movie.douban.com/subject/23788440/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2246885606.jpg","7.4","剧情;动作;犯罪","汉语普通话;粤语;英语;泰语;韩语","2015.0","120.0","A Time For Consequences","f57274d544c12a34012d6648473769b6","Movie"
"道士下山","http://movie.douban.com/subject/24879839/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2251450614.jpg","5.4","喜剧;动作;奇幻;冒险;武侠;古装","汉语普通话","2015.0","123.0","Monk Comes Down The Mountain;A Monk in a Floating World","e7d27d77d84905eb0ae840be90ac6f9b","Movie"
"我是谁：没有绝对安全的系统","http://movie.douban.com/subject/25932086/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2201518484.jpg","8.0","悬疑;惊悚","德语","2014.0","105.0","Who Am I - No System Is Safe","d13c9ec66451dfd172758f97e3d73caf","Movie"
"贝利叶一家","http://movie.douban.com/subject/25855951/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2217443924.jpg","8.2","剧情;喜剧;音乐;家庭","法语;西班牙语;手语","2014.0","105.0","闪亮的歌声(港);贝礼一家(台)","12c0c7b9c5f389ebfd6d00b86d499587","Movie"
"疯狂的麦克斯4：狂暴之路","http://movie.douban.com/subject/3592854/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2236181653.jpg","8.6","动作;科幻;冒险","英语","2015.0","120.0","Fury Road","02ccda90d174149e28d8ed85af9b8534","Movie"
"时光尽头的恋人","http://movie.douban.com/subject/6039412/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2234995897.jpg","6.3","剧情;爱情;奇幻","英语","2015.0","112.0","阿戴琳的年龄;时光逆爱90年(港);时空永恒的爱恋(台);美人不迟暮","3d1ad48f685d3067bb7c38e0480476b9","Movie"
"坏姐姐之拆婚联盟","http://movie.douban.com/subject/25907004/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2205689007.jpg","4.5","喜剧;爱情","汉语普通话","2014.0","108.0","拆婚联盟;Bad Sister","f2973b2125c2e441cb94e1f2fca1a1a0","Movie"
"嘘！禁止想象！","http://movie.douban.com/subject/26366634/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2238580699.jpg","5.1","喜剧;情色","韩语","2015.0","57.0","Shh! No Imagining!","3bdeb714e5137f3a63a94d8ad2b409d6","Movie"
"机械姬","http://movie.douban.com/subject/4160540/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2208934451.jpg","7.5","剧情;科幻","英语","2015.0","108.0","机器夏娃;觉醒前夜","40fbabd8b13c29fd417c2ef92d2129ed","Movie"
"栀子花开","http://movie.douban.com/subject/26021055/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2253155703.jpg","4.1","爱情","汉语普通话","2015.0","107.0","栀子花开2015;Forever Young","8eb96634a768e005aa1eb0ad17ddbe49","Movie"
"复仇者联盟2：奥创纪元","http://movie.douban.com/subject/10741834/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2237747953.jpg","7.1","动作;科幻;奇幻;冒险","英语;韩语","2015.0","142.0","Age of Ultron;The Avengers 2;After Party","3fc18b6b9c81c861bd6604a0823fb601","Movie"
"工作女郎","http://movie.douban.com/subject/25809260/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2213320580.jpg","6.4","喜剧","韩语","2015.0","132.0","Exclusive For Ladies;Working Girl","840c930b55856322ff8ddbb295672d7d","Movie"
"少女哪吒","http://movie.douban.com/subject/24753687/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2247672271.jpg","6.4","剧情","汉语普通话","2015.0","98.0","Nezha","2cadbfeaff72c010a1d1f625b8f30f10","Movie"
"我的个神啊","http://movie.douban.com/subject/10741643/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2243803873.jpg","8.2","喜剧;奇幻","印地语","2015.0","139.0","外星醉汉PK地球神;来自星星的傻瓜PK(台);Peekay;P.K.","e915c0a38a53418cc20c490d8c31b61c","Movie"
"左耳","http://movie.douban.com/subject/25745752/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2238949728.jpg","5.5","爱情","汉语普通话","2015.0","117.0","左耳电影版;The Left Ear","8e0cf2037b839f2f479938675999515f","Movie"
"对风说爱你","http://movie.douban.com/subject/25830802/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2247805134.jpg","6.3","剧情;爱情","汉语普通话","2015.0","126.0","Where the Wind Settles","c1b3b17f7ef892cb8401cb8505506cb8","Movie"
"小时代4：灵魂尽头","http://movie.douban.com/subject/24847343/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2250399288.jpg","4.6","喜剧;爱情","汉语普通话","2015.0","116.0","小时代4;Tiny Time 4.0","5bbfdd24c5be204fb8902c61426d4858","Movie"
"消失的爱人","http://movie.douban.com/subject/21318488/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2221768894.jpg","8.7","剧情;悬疑;惊悚;犯罪","英语","2014.0","149.0","失踪的女孩;失踪女孩;失踪罪(港);控制(台)","49a23bd0e19bfb27a3871bb04146841b","Movie"
"暗黑之地","http://movie.douban.com/subject/10755171/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2231271696.jpg","6.0","剧情;悬疑;惊悚","英语","2015.0","113.0","暗处(台);心踪罪(港)","175ed44eb6c4c30ea15510081a267b9b","Movie"
"麦克法兰","http://movie.douban.com/subject/11520649/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2222667000.jpg","8.2","剧情;运动","英语","2015.0","129.0","梦想越野队(台);McFarland","2d7560cc8be94107f8d7cd858b6c4e69","Movie"
"风流艳妇","http://movie.douban.com/subject/26268587/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2263217275.jpg","6.8","剧情;历史","英语","2015.0","90.0","沃斯利夫人的情事;伤风败俗的W夫人;红衣女人;The Woman in Red","b221bff88a39144320c8eaf4ef2d1cf8","Movie"
"念念","http://movie.douban.com/subject/25718082/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2239530046.jpg","7.0","剧情;爱情;家庭","汉语普通话","2015.0","119.0","Murmur of the Hearts","dd8cb59dec32498f2ebb36f6b3aaf5d4","Movie"
"速度与激情7","http://movie.douban.com/subject/23761370/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2233706697.jpg","8.3","动作;犯罪","英语","2015.0","140.0","狂野时速7(港);玩命关头7(台);Furious 7","6b9db8490177050610ac2bd5c42574cf","Movie"
